p	(av_abs_m)	susceptibility	binder cumulant
0.01	0.888284	15.0539	0.623699
0.0119667	0.888178	14.767	0.624626
0.0139333	0.898258	13.7026	0.630158
0.0159	0.905582	12.3179	0.634227
0.0178667	0.885369	14.4546	0.625451
0.0198333	0.883538	15.0336	0.625782
0.0218	0.882827	14.1792	0.62662
0.0237667	0.894542	12.2703	0.631877
0.0257333	0.882027	14.3628	0.627159
0.0277	0.907858	9.95264	0.639403
0.0296667	0.893316	12.0537	0.634175
0.0316333	0.885867	12.5893	0.632274
0.0336	0.899076	10.8976	0.638162
0.0355667	0.907964	8.93683	0.643385
0.0375333	0.889013	11.3691	0.636154
0.0395	0.895413	9.84667	0.640079
0.0414667	0.896498	10.1068	0.640743
0.0434333	0.897102	9.51211	0.641597
0.0454	0.886844	10.686	0.638887
0.0473667	0.894044	8.77756	0.64247
0.0493333	0.887662	10.1014	0.639863
0.0513	0.903982	6.84641	0.648516
0.0532667	0.907129	5.63348	0.650462
0.0552333	0.906276	5.68882	0.65114
0.0572	0.88672	8.8479	0.643223
0.0591667	0.894542	7.11277	0.647618
0.0611333	0.904782	5.32596	0.652574
0.0631	0.907893	4.03227	0.655467
0.0650667	0.901493	5.02171	0.652584
0.0670333	0.887342	6.56796	0.648157
0.069	0.87552	7.62389	0.643546
0.0709667	0.890276	5.19271	0.651889
0.0729333	0.876782	7.40876	0.646409
0.0749	0.891058	5.09352	0.652166
0.0768667	0.89472	3.65816	0.654816
0.0788333	0.894169	2.94054	0.657523
0.0808	0.895698	3.27394	0.657779
0.0827667	0.876142	5.63886	0.650785
0.0847333	0.876302	4.70864	0.652491
0.0867	0.886293	2.72151	0.657114
0.0886667	0.885618	2.79926	0.657334
0.0906333	0.881778	3.24135	0.656497
0.0926	0.878862	3.28622	0.656228
0.0945667	0.881298	2.54209	0.657997
0.0965333	0.877031	2.37124	0.658728
0.0985	0.879538	1.70673	0.659838
0.100467	0.86912	3.03772	0.656112
0.102433	0.881689	1.21881	0.661622
0.1044	0.869796	2.19086	0.65877
0.106367	0.868018	1.41534	0.659833
0.108333	0.866222	2.61596	0.657456
0.1103	0.863307	2.42537	0.657764
0.112267	0.860231	2.24881	0.658213
0.114233	0.859289	1.5011	0.659814
0.1162	0.853227	2.54226	0.657486
0.118167	0.848871	2.87648	0.656206
0.120133	0.851289	1.35959	0.659299
0.1221	0.84784	1.88053	0.659253
0.124067	0.841742	1.90268	0.657517
0.126033	0.836018	2.11697	0.656902
0.128	0.832676	2.6834	0.656049
0.129967	0.830827	2.20101	0.656364
0.131933	0.8264	1.84614	0.656867
0.1339	0.822276	2.00579	0.656592
0.135867	0.822916	2.18553	0.655563
0.137833	0.821582	1.60176	0.65729
0.1398	0.820338	1.57253	0.657481
0.141767	0.806151	2.94242	0.652795
0.143733	0.810827	1.76346	0.655848
0.1457	0.806613	1.77779	0.655967
0.147667	0.796036	2.10523	0.653336
0.149633	0.78976	2.37132	0.651814
0.1516	0.789298	1.98607	0.653452
0.153567	0.785387	2.59718	0.650973
0.155533	0.782062	2.43381	0.652242
0.1575	0.761049	3.45963	0.645484
0.159467	0.771449	2.64116	0.649467
0.161433	0.760853	3.37783	0.646311
0.1634	0.756889	3.39441	0.645485
0.165367	0.745387	3.52137	0.643326
0.167333	0.733653	4.24076	0.637229
0.1693	0.72896	4.20839	0.637276
0.171267	0.726151	4.39031	0.63888
0.173233	0.72432	4.13813	0.637849
0.1752	0.714507	4.38073	0.635434
0.177167	0.690631	5.61133	0.625232
0.179133	0.692516	5.06051	0.629695
0.1811	0.67536	6.84881	0.617939
0.183067	0.666116	6.43524	0.618932
0.185033	0.655502	7.55969	0.609665
0.187	0.650507	6.6467	0.611764
0.188967	0.644747	7.0861	0.607503
0.190933	0.629796	7.71869	0.599518
0.1929	0.603467	8.98542	0.585682
0.194867	0.608462	8.52184	0.587672
0.196833	0.579467	9.15978	0.577308
0.1988	0.56464	9.60614	0.565407
0.200767	0.566382	8.4489	0.57265
0.202733	0.55072	10.3761	0.556353
0.2047	0.537493	10.7427	0.545836
0.206667	0.535573	9.97046	0.550364
0.208633	0.523662	10.4333	0.535926
0.2106	0.533227	9.34546	0.553731
0.212567	0.502311	10.1585	0.522792
0.214533	0.467147	11.1579	0.492322
0.2165	0.436853	11.0214	0.462915
0.218467	0.460178	10.093	0.491564
0.220433	0.460942	9.91056	0.505957
0.2224	0.418436	10.8334	0.453475
0.224367	0.403751	10.5291	0.434923
0.226333	0.410507	9.83539	0.455635
0.2283	0.396729	10.5093	0.420778
0.230267	0.401298	10.1582	0.429218
0.232233	0.372071	9.43065	0.409267
0.2342	0.390507	9.6284	0.42553
0.236167	0.375644	9.36481	0.417547
0.238133	0.356516	8.92754	0.396333
0.2401	0.355182	9.85728	0.384055
0.242067	0.339769	8.53511	0.386947
0.244033	0.331396	9.08712	0.357492
0.246	0.338542	8.74984	0.371434
0.247967	0.317564	9.08471	0.321401
0.249933	0.289689	7.67527	0.300435
0.2519	0.291502	7.63839	0.312049
0.253867	0.306453	7.81496	0.312932
0.255833	0.290827	7.53782	0.296222
0.2578	0.306631	8.55097	0.313927
0.259767	0.258738	7.3434	0.22262
0.261733	0.269564	7.24131	0.253166
0.2637	0.282062	7.73828	0.288192
0.265667	0.269351	7.29114	0.249097
0.267633	0.273511	7.49136	0.274961
0.2696	0.260267	6.2806	0.284496
0.271567	0.235271	6.1304	0.2146
0.273533	0.239378	6.37584	0.21311
0.2755	0.249511	6.26534	0.220841
0.277467	0.238507	6.1478	0.168282
0.279433	0.22368	5.5234	0.154012
0.2814	0.22864	5.44449	0.222363
0.283367	0.221333	5.85351	0.100414
0.285333	0.216569	4.92092	0.245912
0.2873	0.240569	5.5755	0.23485
0.289267	0.220409	5.24118	0.18554
0.291233	0.225742	4.61591	0.256787
0.2932	0.221867	5.14134	0.180842
0.295167	0.20528	4.75991	0.169961
0.297133	0.200036	4.63218	0.0862263
0.2991	0.210933	4.65303	0.192879
0.301067	0.203698	4.86384	0.13266
