p	(av_abs_m)	susceptibility	binder cumulant
0.01	0.888818	9.82055	0.640106
0.0119667	0.903111	6.80039	0.647403
0.0139333	0.909333	6.01308	0.650804
0.0159	0.8952	8.01817	0.645769
0.0178667	0.909173	5.29953	0.652215
0.0198333	0.898222	6.7473	0.649778
0.0218	0.904427	4.83617	0.652753
0.0237667	0.884427	8.03211	0.644155
0.0257333	0.883982	7.95736	0.645689
0.0277	0.890507	6.0552	0.649234
0.0296667	0.901049	3.78749	0.655522
0.0316333	0.888444	6.04387	0.650119
0.0336	0.892302	5.03059	0.652983
0.0355667	0.882204	6.3326	0.648002
0.0375333	0.878489	6.61257	0.647209
0.0395	0.88048	5.77549	0.650658
0.0414667	0.884871	4.72387	0.652721
0.0434333	0.87792	4.79636	0.651636
0.0454	0.877849	5.3041	0.651904
0.0473667	0.8816	3.97877	0.654802
0.0493333	0.883449	3.41688	0.656186
0.0513	0.889653	1.97665	0.659956
0.0532667	0.872409	4.80513	0.651957
0.0552333	0.874578	3.87978	0.654885
0.0572	0.882098	2.45444	0.657973
0.0591667	0.879164	2.32208	0.65864
0.0611333	0.873938	2.91628	0.657339
0.0631	0.874667	2.00231	0.659421
0.0650667	0.876818	1.6294	0.660366
0.0670333	0.873884	1.21402	0.661167
0.069	0.865138	2.27866	0.65787
0.0709667	0.863627	2.79981	0.656746
0.0729333	0.858738	2.62536	0.657615
0.0749	0.860267	2.10101	0.65834
0.0768667	0.855609	2.63759	0.656808
0.0788333	0.856871	1.80323	0.65972
0.0808	0.846116	2.65598	0.65627
0.0827667	0.850204	1.49728	0.659245
0.0847333	0.849493	1.56977	0.659193
0.0867	0.850471	1.60459	0.659643
0.0886667	0.836551	2.27025	0.656492
0.0906333	0.834222	2.07587	0.657107
0.0926	0.829173	2.63443	0.655581
0.0945667	0.832836	1.91908	0.657879
0.0965333	0.826791	2.33582	0.655654
0.0985	0.826951	2.11892	0.656736
0.100467	0.829156	1.11921	0.659432
0.102433	0.816249	2.45803	0.655289
0.1044	0.808889	2.15399	0.653651
0.106367	0.811129	2.22461	0.655614
0.108333	0.808373	2.19333	0.654827
0.1103	0.807787	1.78742	0.65567
0.112267	0.803378	2.1879	0.654162
0.114233	0.798044	1.83363	0.655168
0.1162	0.791236	1.83484	0.654024
0.118167	0.781636	2.64942	0.651466
0.120133	0.773458	2.78972	0.649028
0.1221	0.764018	3.17205	0.646767
0.124067	0.758987	3.38228	0.645361
0.126033	0.768213	2.58742	0.649159
0.128	0.750738	3.4164	0.642978
0.129967	0.752249	3.18335	0.645433
0.131933	0.736622	3.94441	0.641091
0.1339	0.732693	4.85324	0.637063
0.135867	0.73424	4.08383	0.639424
0.137833	0.721209	4.43832	0.635369
0.1398	0.723662	3.62475	0.639638
0.141767	0.705298	4.6197	0.632604
0.143733	0.696569	5.36522	0.629516
0.1457	0.688907	5.2496	0.626762
0.147667	0.675538	5.72185	0.622077
0.149633	0.668267	6.78666	0.616033
0.1516	0.649867	6.79463	0.61109
0.153567	0.641031	7.47144	0.604488
0.155533	0.641244	7.60715	0.607208
0.1575	0.622898	7.64409	0.598733
0.159467	0.61744	7.65512	0.596203
0.161433	0.597458	9.02557	0.582024
0.1634	0.582311	8.72231	0.581636
0.165367	0.55408	10.2551	0.5544
0.167333	0.56304	9.72183	0.563091
0.1693	0.564089	9.79994	0.56571
0.171267	0.568036	8.78643	0.57488
0.173233	0.531751	9.99819	0.547902
0.1752	0.523716	9.9837	0.540075
0.177167	0.503627	9.25833	0.536409
0.179133	0.488604	11.5827	0.504526
0.1811	0.479591	10.3697	0.510298
0.183067	0.477867	10.037	0.505751
0.185033	0.466596	10.9318	0.499972
0.187	0.455342	10.5267	0.488252
0.188967	0.452267	11.5388	0.470909
0.190933	0.4344	10.9033	0.46842
0.1929	0.426684	10.092	0.462435
0.194867	0.409956	10.7426	0.450235
0.196833	0.407591	10.2981	0.447049
0.1988	0.385742	9.93382	0.417706
0.200767	0.380373	10.0114	0.417678
0.202733	0.391307	10.3218	0.430273
0.2047	0.370044	9.20756	0.409533
0.206667	0.351556	9.45436	0.385222
0.208633	0.348089	9.57114	0.359317
0.2106	0.340178	8.84212	0.351734
0.212567	0.336302	8.82536	0.354541
0.214533	0.313084	8.67898	0.305487
0.2165	0.323467	8.72053	0.350537
0.218467	0.322738	8.75533	0.321455
0.220433	0.303396	8.13775	0.302171
0.2224	0.309351	9.00521	0.309488
0.224367	0.295964	8.18401	0.30598
0.226333	0.29856	7.87385	0.324441
0.2283	0.2936	7.44237	0.298804
0.230267	0.285369	7.2263	0.317666
0.232233	0.271111	6.9174	0.267093
0.2342	0.26592	7.01744	0.250163
0.236167	0.261618	6.64866	0.275045
0.238133	0.261973	6.16575	0.277708
0.2401	0.263502	6.84628	0.276135
0.242067	0.256338	6.77546	0.226052
0.244033	0.244124	6.21295	0.231169
0.246	0.23632	5.89523	0.228811
0.247967	0.24672	5.92779	0.250465
0.249933	0.232071	6.03169	0.169912
0.2519	0.243751	5.71399	0.24667
0.253867	0.236516	6.07126	0.196808
0.255833	0.217564	4.94328	0.182466
0.2578	0.219716	5.3321	0.164974
0.259767	0.224747	5.29261	0.21487
0.261733	0.213227	5.23673	0.166819
0.2637	0.210756	4.90393	0.192357
0.265667	0.216782	4.9324	0.216266
0.267633	0.197387	4.55302	0.126639
0.2696	0.209031	4.83505	0.139482
0.271567	0.207573	4.86809	0.16893
0.273533	0.203182	4.77543	0.140202
0.2755	0.208853	4.64853	0.190329
0.277467	0.197173	3.99461	0.197617
0.279433	0.199467	4.12872	0.192777
0.2814	0.185973	4.71552	0.0591593
0.283367	0.190773	4.24755	0.141982
0.285333	0.176853	3.42662	0.141671
0.2873	0.182631	4.16135	0.0736457
0.289267	0.189493	3.93218	0.183323
0.291233	0.173564	3.46093	0.0927312
0.2932	0.178596	3.97237	0.0943277
0.295167	0.181636	3.83939	0.114531
0.297133	0.16752	3.29007	0.108702
0.2991	0.166684	3.48111	0.0502909
0.301067	0.166631	3.18716	0.130744
0.303033	0.182756	3.77892	0.131965
0.305	0.163342	3.39941	0.0397527
0.306967	0.168018	3.25106	0.109197
0.308933	0.164551	3.53834	0.0902058
0.3109	0.166329	3.55305	0.00210628
0.312867	0.157298	3.12429	-0.0221583
0.314833	0.157493	2.79706	0.165762
0.3168	0.152302	2.72861	0.113716
0.318767	0.158684	2.85142	0.175207
0.320733	0.148676	2.75483	0.0873672
0.3227	0.158364	2.96185	0.0353744
0.324667	0.156942	2.88213	0.102494
0.326633	0.152249	2.80572	0.0674106
0.3286	0.154578	2.83289	0.0958992
0.330567	0.145351	2.6864	0.101619
0.332533	0.145458	2.82996	0.0314853
0.3345	0.155893	2.9854	0.0714673
0.336467	0.143982	2.63351	0.0511233
0.338433	0.142276	2.60263	0.0152025
0.3404	0.145653	2.47077	0.0818937
0.342367	0.15472	2.69983	0.0989453
0.344333	0.137369	2.17493	0.128042
0.3463	0.134773	2.5792	-0.0198752
0.348267	0.137938	2.51886	-0.00314168
0.350233	0.135502	2.33796	0.0151016
0.3522	0.13936	2.36847	0.0396431
0.354167	0.137227	2.39741	0.0510023
0.356133	0.134044	1.86218	0.153999
0.3581	0.133262	2.1717	0.090921
0.360067	0.132124	2.37368	0.0180418
0.362033	0.130702	2.08865	0.112909
0.364	0.133404	2.04782	0.133046
0.365967	0.134098	2.15905	0.0225173
0.367933	0.132	2.21311	0.0493116
0.3699	0.137618	2.02904	0.191808
0.371867	0.12864	2.07593	0.0703431
0.373833	0.125102	2.14849	-0.00498306
0.3758	0.132889	2.14364	0.022599
0.377767	0.126453	2.0541	0.0614024
0.379733	0.1256	1.87707	0.10122
0.3817	0.126756	1.98618	0.0690301
0.383667	0.124178	1.97044	0.020747
0.385633	0.129404	2.08346	0.0517917
0.3876	0.130418	2.17491	0.0104237
0.389567	0.128889	1.9077	0.0530364
0.391533	0.12736	1.85697	0.119389
0.3935	0.128427	1.99846	0.139595
0.395467	0.123324	1.75549	0.0290588
0.397433	0.122631	1.67083	0.130875
0.3994	0.119787	1.7447	0.026573
